Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,BC Home Members,7765,156811,,
2/1/2024,BC Home Members,7001,153389,,
3/1/2024,BC Home Members,6850,152284,,
4/1/2024,BC Home Members,6771,152396,,
5/1/2024,BC Home Members,6555,154320,,
6/1/2024,BC Home Members,6040,155450,,
7/1/2024,BC Home Members,6499,155600,,
8/1/2024,BC Home Members,6726,155870,,
9/1/2024,BC Home Members,5838,155652,,
10/1/2024,BC Home Members,6205,155548,,
11/1/2024,BC Home Members,4895,155572,,
12/1/2024,BC Home Members,5000,155108,,0.492
1/1/2025,BC Home Members,6858,169750,,
2/1/2025,BC Home Members,6067,169750,,
3/1/2025,BC Home Members,6644,166130,,
4/1/2025,BC Home Members,6852,164108,,
5/1/2025,BC Home Members,6011,162344,,
6/1/2025,BC Home Members,5972,163387,,
7/1/2025,BC Home Members,6301,163307,,
8/1/2025,BC Home Members,5442,162047,,
9/1/2025,BC Home Members,5277,162198,,
10/1/2025,BC Home Members,5937,162293,,
11/1/2025,BC Home Members,4135,164159,,
12/1/2025,BC Home Members,4369,164255,,0.425
1/1/2026,BC Home Members,,,170148,
2/1/2026,BC Home Members,,,170148,
3/1/2026,BC Home Members,,,170148,
4/1/2026,BC Home Members,,,170148,
5/1/2026,BC Home Members,,,170148,
6/1/2026,BC Home Members,,,170148,
7/1/2026,BC Home Members,,,170148,
8/1/2026,BC Home Members,,,170148,
9/1/2026,BC Home Members,,,170148,
10/1/2026,BC Home Members,,,170148,
11/1/2026,BC Home Members,,,170148,
12/1/2026,BC Home Members,,,170148,
1/1/2027,BC Home Members,,,,
2/1/2027,BC Home Members,,,,
3/1/2027,BC Home Members,,,,
4/1/2027,BC Home Members,,,,
5/1/2027,BC Home Members,,,,
6/1/2027,BC Home Members,,,,
7/1/2027,BC Home Members,,,,
8/1/2027,BC Home Members,,,,
9/1/2027,BC Home Members,,,,
10/1/2027,BC Home Members,,,,
11/1/2027,BC Home Members,,,,
12/1/2027,BC Home Members,,,,
