Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,BCPTOP Members,1478,728235,,
2/1/2024,BCPTOP Members,1525,728235,,
3/1/2024,BCPTOP Members,1487,728235,,
4/1/2024,BCPTOP Members,1720,724940,,
5/1/2024,BCPTOP Members,1559,724940,,
6/1/2024,BCPTOP Members,1129,724940,,
7/1/2024,BCPTOP Members,1329,722035,,
8/1/2024,BCPTOP Members,1629,722035,,
9/1/2024,BCPTOP Members,1791,722035,,
10/1/2024,BCPTOP Members,1798,722218,,
11/1/2024,BCPTOP Members,1531,722218,,
12/1/2024,BCPTOP Members,1338,722218,,0.025283113
1/1/2025,BCPTOP Members,1588,737084,,
2/1/2025,BCPTOP Members,1494,737084,,
3/1/2025,BCPTOP Members,1488,737084,,
4/1/2025,BCPTOP Members,1534,730016,,
5/1/2025,BCPTOP Members,1513,730016,,
6/1/2025,BCPTOP Members,1453,730016,,
7/1/2025,BCPTOP Members,1443,723613,,
8/1/2025,BCPTOP Members,1554,723613,,
9/1/2025,BCPTOP Members,1512,723613,,
10/1/2025,BCPTOP Members,1824,723613,,
11/1/2025,BCPTOP Members,1366,723613,,
12/1/2025,BCPTOP Members,1521,723613,,0.025103575
1/1/2026,BCPTOP Members,,,750020,
2/1/2026,BCPTOP Members,,,750020,
3/1/2026,BCPTOP Members,,,750020,
4/1/2026,BCPTOP Members,,,746199,
5/1/2026,BCPTOP Members,,,746199,
6/1/2026,BCPTOP Members,,,746199,
7/1/2026,BCPTOP Members,,,745835,
8/1/2026,BCPTOP Members,,,745835,
9/1/2026,BCPTOP Members,,,745835,
10/1/2026,BCPTOP Members,,,745745,
11/1/2026,BCPTOP Members,,,745745,
12/1/2026,BCPTOP Members,,,745745,
