Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Enrollment Members,4357,196815,,
2/1/2024,Enrollment Members,3267,196615,,
3/1/2024,Enrollment Members,3094,195984,,
4/1/2024,Enrollment Members,2825,197038,,
5/1/2024,Enrollment Members,2547,197570,,
6/1/2024,Enrollment Members,2075,198652,,
7/1/2024,Enrollment Members,2355,199248,,
8/1/2024,Enrollment Members,2504,199159,,
9/1/2024,Enrollment Members,2363,199291,,
10/1/2024,Enrollment Members,2388,199783,,
11/1/2024,Enrollment Members,1665,199339,,
12/1/2024,Enrollment Members,2426,198349,,0.161
1/1/2025,Enrollment Members,3831,194903,,
2/1/2025,Enrollment Members,2667,193148,,
3/1/2025,Enrollment Members,2638,192469,,
4/1/2025,Enrollment Members,2147,190515,,
5/1/2025,Enrollment Members,1750,188745,,
6/1/2025,Enrollment Members,1811,188551,,
7/1/2025,Enrollment Members,2082,188365,,
8/1/2025,Enrollment Members,1488,188498,,
9/1/2025,Enrollment Members,1454,188463,,
10/1/2025,Enrollment Members,1489,189161,,
11/1/2025,Enrollment Members,1015,189009,,
12/1/2025,Enrollment Members,1409,187956,,0.125
1/1/2026,Enrollment Members,,,206266,
2/1/2026,Enrollment Members,,,206204,
3/1/2026,Enrollment Members,,,205810,
4/1/2026,Enrollment Members,,,205388,
5/1/2026,Enrollment Members,,,205371,
6/1/2026,Enrollment Members,,,205528,
7/1/2026,Enrollment Members,,,205654,
8/1/2026,Enrollment Members,,,205964,
9/1/2026,Enrollment Members,,,206571,
10/1/2026,Enrollment Members,,,207746,
11/1/2026,Enrollment Members,,,207400,
12/1/2026,Enrollment Members,,,208474,
1/1/2027,Enrollment Members,,,,
2/1/2027,Enrollment Members,,,,
3/1/2027,Enrollment Members,,,,
4/1/2027,Enrollment Members,,,,
5/1/2027,Enrollment Members,,,,
6/1/2027,Enrollment Members,,,,
7/1/2027,Enrollment Members,,,,
8/1/2027,Enrollment Members,,,,
9/1/2027,Enrollment Members,,,,
10/1/2027,Enrollment Members,,,,
11/1/2027,Enrollment Members,,,,
12/1/2027,Enrollment Members,,,,
