Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,FEP Members,14312,121953,,
2/1/2024,FEP Members,13301,121867,,
3/1/2024,FEP Members,12053,121780,,
4/1/2024,FEP Members,11707,121665,,
5/1/2024,FEP Members,11200,121423,,
6/1/2024,FEP Members,10204,121292,,
7/1/2024,FEP Members,10656,121265,,
8/1/2024,FEP Members,10813,121202,,
9/1/2024,FEP Members,9824,121312,,
10/1/2024,FEP Members,10450,121484,,
11/1/2024,FEP Members,9860,121718,,
12/1/2024,FEP Members,10552,121758,,1.110004051
1/1/2025,FEP Members,12768,120216,,
2/1/2025,FEP Members,9754,119940,,
3/1/2025,FEP Members,10058,119690,,
4/1/2025,FEP Members,9626,119366,,
5/1/2025,FEP Members,8962,118828,,
6/1/2025,FEP Members,9691,118531,,
7/1/2025,FEP Members,8294,118324,,
8/1/2025,FEP Members,7870,118217,,
9/1/2025,FEP Members,7956,117980,,
10/1/2025,FEP Members,8224,117129,,
11/1/2025,FEP Members,7160,117182,,
12/1/2025,FEP Members,8156,116978,,0.915526853
1/1/2026,FEP Members,,,118000,
2/1/2026,FEP Members,,,117780,
3/1/2026,FEP Members,,,117580,
4/1/2026,FEP Members,,,117380,
5/1/2026,FEP Members,,,117180,
6/1/2026,FEP Members,,,116980,
7/1/2026,FEP Members,,,116780,
8/1/2026,FEP Members,,,116580,
9/1/2026,FEP Members,,,116380,
10/1/2026,FEP Members,,,116180,
11/1/2026,FEP Members,,,115980,
12/1/2026,FEP Members,,,115800,
