Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2021,Individual Members,25742,72814,,
2/1/2021,Individual Members,23688,72814,,
3/1/2021,Individual Members,26747,72814,,
4/1/2021,Individual Members,25621,72814,,
5/1/2021,Individual Members,29872,72814,,
6/1/2021,Individual Members,35985,72814,,
7/1/2021,Individual Members,30768,72814,,
8/1/2021,Individual Members,32105,72814,,
9/1/2021,Individual Members,29583,72814,,
10/1/2021,Individual Members,27166,70069,,
11/1/2021,Individual Members,30430,70069,,
12/1/2021,Individual Members,35803,70069,,4.901
1/1/2022,Individual Members,40107,68332,,
2/1/2022,Individual Members,28685,68332,,
3/1/2022,Individual Members,30475,68332,,
4/1/2022,Individual Members,25199,68332,,
5/1/2022,Individual Members,23069,68332,,
6/1/2022,Individual Members,24642,68332,,
7/1/2022,Individual Members,23980,68332,,
8/1/2022,Individual Members,29231,68332,,
9/1/2022,Individual Members,24499,68332,,
10/1/2022,Individual Members,25351,68332,,
11/1/2022,Individual Members,28054,68332,,
12/1/2022,Individual Members,33869,68332,,4.934
1/1/2023,Individual Members,41861,70835,,
2/1/2023,Individual Members,31617,69424,,
3/1/2023,Individual Members,30811,69014,,
4/1/2023,Individual Members,21371,68775,,
5/1/2023,Individual Members,22373,68480,,
6/1/2023,Individual Members,19830,68403,,
7/1/2023,Individual Members,18420,68567,,
8/1/2023,Individual Members,18721,68612,,
9/1/2023,Individual Members,15539,68737,,
10/1/2023,Individual Members,18096,68590,,
11/1/2023,Individual Members,17262,68692,,
12/1/2023,Individual Members,22182,68149,,4.039
1/1/2024,Individual Members,45462,84208,,
2/1/2024,Individual Members,33738,91653,,
3/1/2024,Individual Members,28459,93655,,
4/1/2024,Individual Members,22389,94516,,
5/1/2024,Individual Members,20640,95398,,
6/1/2024,Individual Members,18641,96783,,
7/1/2024,Individual Members,19113,97819,,
8/1/2024,Individual Members,18876,99216,,
9/1/2024,Individual Members,17269,100281,,
10/1/2024,Individual Members,18451,101264,,
11/1/2024,Individual Members,16180,102286,,
12/1/2024,Individual Members,23633,102721,,2.927
1/1/2025,Individual Members,31946,112995,,
2/1/2025,Individual Members,24064,120070,,
3/1/2025,Individual Members,21805,121800,,
4/1/2025,Individual Members,19515,123704,,
5/1/2025,Individual Members,18945,124980,,
6/1/2025,Individual Members,18078,126270,,
7/1/2025,Individual Members,19034,126794,,
8/1/2025,Individual Members,17514,126731,,
9/1/2025,Individual Members,18309,121912,,
10/1/2025,Individual Members,18086,122861,,
11/1/2025,Individual Members,17599,122566,,
12/1/2025,Individual Members,32752,120444,,2.102
1/1/2026,Individual Members,,,64212,
2/1/2026,Individual Members,,,58496,
3/1/2026,Individual Members,,,57721,
4/1/2026,Individual Members,,,56860,
5/1/2026,Individual Members,,,55935,
6/1/2026,Individual Members,,,54994,
7/1/2026,Individual Members,,,54033,
8/1/2026,Individual Members,,,53174,
9/1/2026,Individual Members,,,52390,
10/1/2026,Individual Members,,,51625,
11/1/2026,Individual Members,,,51030,
12/1/2026,Individual Members,,,50540,
1/1/2027,Individual Members,,,,
2/1/2027,Individual Members,,,,
3/1/2027,Individual Members,,,,
4/1/2027,Individual Members,,,,
5/1/2027,Individual Members,,,,
6/1/2027,Individual Members,,,,
7/1/2027,Individual Members,,,,
8/1/2027,Individual Members,,,,
9/1/2027,Individual Members,,,,
10/1/2027,Individual Members,,,,
11/1/2027,Individual Members,,,,
12/1/2027,Individual Members,,,,
,,,,,
,,,,,
