Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Large Group COP Members,851,21834,,
2/1/2024,Large Group COP Members,860,21922,,
3/1/2024,Large Group COP Members,682,21927,,
4/1/2024,Large Group COP Members,768,21978,,
5/1/2024,Large Group COP Members,731,21958,,
6/1/2024,Large Group COP Members,746,21985,,
7/1/2024,Large Group COP Members,735,21927,,
8/1/2024,Large Group COP Members,765,21937,,
9/1/2024,Large Group COP Members,685,21917,,
10/1/2024,Large Group COP Members,766,21976,,
11/1/2024,Large Group COP Members,712,21979,,
12/1/2024,Large Group COP Members,675,21908,,0.409
1/1/2025,Large Group COP Members,880,21552,,
2/1/2025,Large Group COP Members,735,21668,,
3/1/2025,Large Group COP Members,711,21877,,
4/1/2025,Large Group COP Members,772,21820,,
5/1/2025,Large Group COP Members,625,21861,,
6/1/2025,Large Group COP Members,657,21852,,
7/1/2025,Large Group COP Members,624,21894,,
8/1/2025,Large Group COP Members,659,21867,,
9/1/2025,Large Group COP Members,636,21999,,
10/1/2025,Large Group COP Members,675,22036,,
11/1/2025,Large Group COP Members,557,22026,,
12/1/2025,Large Group COP Members,682,21833,,0.376
1/1/2026,Large Group COP Members,,,22439,
2/1/2026,Large Group COP Members,,,22433,
3/1/2026,Large Group COP Members,,,22450,
4/1/2026,Large Group COP Members,,,22445,
5/1/2026,Large Group COP Members,,,22440,
6/1/2026,Large Group COP Members,,,22392,
7/1/2026,Large Group COP Members,,,22345,
8/1/2026,Large Group COP Members,,,22304,
9/1/2026,Large Group COP Members,,,22304,
10/1/2026,Large Group COP Members,,,22266,
11/1/2026,Large Group COP Members,,,22281,
12/1/2026,Large Group COP Members,,,22217,
1/1/2027,Large Group COP Members,,,,
2/1/2027,Large Group COP Members,,,,
3/1/2027,Large Group COP Members,,,,
4/1/2027,Large Group COP Members,,,,
5/1/2027,Large Group COP Members,,,,
6/1/2027,Large Group COP Members,,,,
7/1/2027,Large Group COP Members,,,,
8/1/2027,Large Group COP Members,,,,
9/1/2027,Large Group COP Members,,,,
10/1/2027,Large Group COP Members,,,,
11/1/2027,Large Group COP Members,,,,
12/1/2027,Large Group COP Members,,,,
