Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Large Group Members,16255,381876,,
2/1/2024,Large Group Members,14168,381423,,
3/1/2024,Large Group Members,12502,381021,,
4/1/2024,Large Group Members,12358,382795,,
5/1/2024,Large Group Members,12294,383312,,
6/1/2024,Large Group Members,12172,384416,,
7/1/2024,Large Group Members,13791,381934,,
8/1/2024,Large Group Members,13202,380856,,
9/1/2024,Large Group Members,11700,381712,,
10/1/2024,Large Group Members,12607,383240,,
11/1/2024,Large Group Members,11145,382778,,
12/1/2024,Large Group Members,12600,384357,,0.405
1/1/2025,Large Group Members,15995,370836,,
2/1/2025,Large Group Members,13367,366333,,
3/1/2025,Large Group Members,13201,365234,,
4/1/2025,Large Group Members,13472,362282,,
5/1/2025,Large Group Members,11859,359785,,
6/1/2025,Large Group Members,11492,360095,,
7/1/2025,Large Group Members,12724,371804,,
8/1/2025,Large Group Members,11630,371488,,
9/1/2025,Large Group Members,12623,373696,,
10/1/2025,Large Group Members,12998,372563,,
11/1/2025,Large Group Members,10312,376350,,
12/1/2025,Large Group Members,11393,376015,,0.41
1/1/2026,Large Group Members,,,348573,
2/1/2026,Large Group Members,,,348544,
3/1/2026,Large Group Members,,,348493,
4/1/2026,Large Group Members,,,347799,
5/1/2026,Large Group Members,,,347862,
6/1/2026,Large Group Members,,,347526,
7/1/2026,Large Group Members,,,347016,
8/1/2026,Large Group Members,,,346586,
9/1/2026,Large Group Members,,,347034,
10/1/2026,Large Group Members,,,349933,
11/1/2026,Large Group Members,,,349949,
12/1/2026,Large Group Members,,,350565,
1/1/2027,Large Group Members,,,,
2/1/2027,Large Group Members,,,,
3/1/2027,Large Group Members,,,,
4/1/2027,Large Group Members,,,,
5/1/2027,Large Group Members,,,,
6/1/2027,Large Group Members,,,,
7/1/2027,Large Group Members,,,,
8/1/2027,Large Group Members,,,,
9/1/2027,Large Group Members,,,,
10/1/2027,Large Group Members,,,,
11/1/2027,Large Group Members,,,,
12/1/2027,Large Group Members,,,,
