Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Large Group SOA Members,5337,68909,,
2/1/2024,Large Group SOA Members,4724,69125,,
3/1/2024,Large Group SOA Members,3991,69312,,
4/1/2024,Large Group SOA Members,3945,69524,,
5/1/2024,Large Group SOA Members,4001,69481,,
6/1/2024,Large Group SOA Members,3864,69310,,
7/1/2024,Large Group SOA Members,4161,68992,,
8/1/2024,Large Group SOA Members,4013,68862,,
9/1/2024,Large Group SOA Members,3620,69050,,
10/1/2024,Large Group SOA Members,4158,69036,,
11/1/2024,Large Group SOA Members,3491,69098,,
12/1/2024,Large Group SOA Members,3369,69149,,0.70384938
1/1/2025,Large Group SOA Members,4746,68461,,
2/1/2025,Large Group SOA Members,3763,69443,,
3/1/2025,Large Group SOA Members,3349,69260,,
4/1/2025,Large Group SOA Members,3469,69058,,
5/1/2025,Large Group SOA Members,3364,69402,,
6/1/2025,Large Group SOA Members,2923,68988,,
7/1/2025,Large Group SOA Members,3546,68845,,
8/1/2025,Large Group SOA Members,3272,68894,,
9/1/2025,Large Group SOA Members,3501,69219,,
10/1/2025,Large Group SOA Members,3630,69142,,
11/1/2025,Large Group SOA Members,2867,69213,,
12/1/2025,Large Group SOA Members,3341,68166,,0.605310286
1/1/2026,Large Group SOA Members,,,70218,
2/1/2026,Large Group SOA Members,,,70204,
3/1/2026,Large Group SOA Members,,,70240,
4/1/2026,Large Group SOA Members,,,70229,
5/1/2026,Large Group SOA Members,,,70219,
6/1/2026,Large Group SOA Members,,,70123,
7/1/2026,Large Group SOA Members,,,70028,
8/1/2026,Large Group SOA Members,,,69945,
9/1/2026,Large Group SOA Members,,,69946,
10/1/2026,Large Group SOA Members,,,69869,
11/1/2026,Large Group SOA Members,,,69889,
12/1/2026,Large Group SOA Members,,,69771,
