Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Med Supp Members,9730,58826,,
2/1/2024,Med Supp Members,8975,58760,,
3/1/2024,Med Supp Members,7448,58675,,
4/1/2024,Med Supp Members,6672,58551,,
5/1/2024,Med Supp Members,7316,58462,,
6/1/2024,Med Supp Members,6011,58461,,
7/1/2024,Med Supp Members,5098,58502,,
8/1/2024,Med Supp Members,4744,58536,,
9/1/2024,Med Supp Members,4988,58593,,
10/1/2024,Med Supp Members,7009,58630,,
11/1/2024,Med Supp Members,5426,58545,,
12/1/2024,Med Supp Members,7160,58704,,1.375
1/1/2025,Med Supp Members,6582,57508,,
2/1/2025,Med Supp Members,6346,57485,,
3/1/2025,Med Supp Members,6535,57482,,
4/1/2025,Med Supp Members,5621,57123,,
5/1/2025,Med Supp Members,6007,56996,,
6/1/2025,Med Supp Members,5417,56981,,
7/1/2025,Med Supp Members,5387,57028,,
8/1/2025,Med Supp Members,4141,57035,,
9/1/2025,Med Supp Members,4427,57085,,
10/1/2025,Med Supp Members,4788,57267,,
11/1/2025,Med Supp Members,4976,57294,,
12/1/2025,Med Supp Members,7340,57232,,1.181
1/1/2026,Med Supp Members,,,57383,
2/1/2026,Med Supp Members,,,57546,
3/1/2026,Med Supp Members,,,57709,
4/1/2026,Med Supp Members,,,57870,
5/1/2026,Med Supp Members,,,58031,
6/1/2026,Med Supp Members,,,58191,
7/1/2026,Med Supp Members,,,58350,
8/1/2026,Med Supp Members,,,58508,
9/1/2026,Med Supp Members,,,58665,
10/1/2026,Med Supp Members,,,58822,
11/1/2026,Med Supp Members,,,58978,
12/1/2026,Med Supp Members,,,59133,
1/1/2027,Med Supp Members,,,,
2/1/2027,Med Supp Members,,,,
3/1/2027,Med Supp Members,,,,
4/1/2027,Med Supp Members,,,,
5/1/2027,Med Supp Members,,,,
6/1/2027,Med Supp Members,,,,
7/1/2027,Med Supp Members,,,,
8/1/2027,Med Supp Members,,,,
9/1/2027,Med Supp Members,,,,
10/1/2027,Med Supp Members,,,,
11/1/2027,Med Supp Members,,,,
12/1/2027,Med Supp Members,,,,
