Date,LOB,Historical_Call_Volume,Membership_Count,Forecasted_Membership,Annual_Contact_Rate
1/1/2024,Small Group Members,7198,75407,,
2/1/2024,Small Group Members,5996,75212,,
3/1/2024,Small Group Members,5341,74928,,
4/1/2024,Small Group Members,5700,75401,,
5/1/2024,Small Group Members,6013,76093,,
6/1/2024,Small Group Members,5317,76147,,
7/1/2024,Small Group Members,6086,76742,,
8/1/2024,Small Group Members,5657,76941,,
9/1/2024,Small Group Members,5171,77098,,
10/1/2024,Small Group Members,5255,77014,,
11/1/2024,Small Group Members,3773,77557,,0.806851194
12/1/2024,Small Group Members,3837,78011,,
1/1/2025,Small Group Members,5797,78476,,
2/1/2025,Small Group Members,4738,78271,,
3/1/2025,Small Group Members,4717,78239,,
4/1/2025,Small Group Members,4528,78564,,
5/1/2025,Small Group Members,3911,79107,,
6/1/2025,Small Group Members,3949,79394,,
7/1/2025,Small Group Members,4209,79606,,
8/1/2025,Small Group Members,4507,79762,,
9/1/2025,Small Group Members,4339,79451,,
10/1/2025,Small Group Members,4410,79861,,
11/1/2025,Small Group Members,3355,80237,,
12/1/2025,Small Group Members,3995,80901,,0.587636952
1/1/2026,Small Group Members,,,81302,
2/1/2026,Small Group Members,,,80927,
3/1/2026,Small Group Members,,,80758,
4/1/2026,Small Group Members,,,80851,
5/1/2026,Small Group Members,,,81061,
6/1/2026,Small Group Members,,,81183,
7/1/2026,Small Group Members,,,81479,
8/1/2026,Small Group Members,,,81672,
9/1/2026,Small Group Members,,,82135,
10/1/2026,Small Group Members,,,82246,
11/1/2026,Small Group Members,,,82395,
12/1/2026,Small Group Members,,,82994,
